Order_Added,valid_AphiaID,length_cm,diameter_width_cm,height_cm,Notes,Size_Ref,Date_Added
35178,138783,,,5,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35179,138785,,,5.8,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35180,138788,,,7.36,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35181,138791,,,0.8,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35182,138792,,,0.4,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35183,138793,,,6.6,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35184,138796,,,0.24,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35185,138797,,,1.7,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35186,138798,,,0.6,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35187,138799,,,1.08,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35188,138800,,,0.8,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35189,138801,,,1.3,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35190,156734,,,3.1,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35191,207754,,,6.5,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35192,207756,,,7.14,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35193,207758,,,7.8,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35194,207761,,,3.7,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35195,207762,,,6.73,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35196,207764,,,2.2,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35197,207774,,,8.8,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35198,215228,,,5.6,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35199,215229,,,6.53,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35200,215252,,,3.6,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35201,215258,,,2.3,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35202,225173,,,6.7,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35203,225714,,,6.02,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35204,236692,,,0.67,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35205,397020,,,4.3,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35206,420712,,,5.5,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35207,420713,,,1.72,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35208,420713,,,6.64,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35209,420717,,,2.45,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35210,420720,,,2.24,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35211,420721,,,3.5,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35212,504280,,,2.13,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35213,504281,,,2.965,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35214,504285,,,0.84,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35215,504286,,,7.2,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35216,504290,,,1.5,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35217,504293,,,2,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35218,504297,,,5.04,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35219,504298,,,3.75,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35220,504305,,,2.8,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35221,504309,,,5.5,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35222,504311,,,1.9,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35223,504313,,,4.6,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35224,504315,,,7.26,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35225,504318,,,2.86,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35226,504322,,,4.46,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35227,504326,,,2.67,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35228,504327,,,6.89,Shell Height,"{Liggia, 2013 #644}",12/02/2022
35229,504331,,,5,Shell Height,"{Liggia, 2013 #644}",12/02/2022
