Order_Added,valid_AphiaID,length_cm,diameter_width_cm,height_cm,Notes,Size_Ref,Date_Added,Biological_Unit,Is_Ref_DOI,Sex,Specimen_Type
100104,138952,0.18,0.045,NA,NA,"{Deel, 2000 #667}",7/10/23,solitary,FALSE,Unknown,Unknown
100105,138957,0.34,0.08,NA,NA,"{Deel, 2000 #667}",7/10/23,solitary,FALSE,Unknown,Unknown
100106,139050,NA,NA,0.6,NA,"{Van der Linden, 1990 #655}",7/10/23,solitary,FALSE,Unknown,Unknown
100107,139051,NA,NA,0.62,NA,"{Van der Linden, 1990 #655}",7/10/23,solitary,FALSE,Unknown,Unknown
100108,139054,NA,NA,1.12,NA,"{Van der Linden, 1990 #655}",7/10/23,solitary,FALSE,Unknown,Unknown
100109,139055,NA,0.089,0.211,NA,"{Tanamai, 2016 #654}",7/10/23,solitary,FALSE,Unknown,Unknown
100110,139061,NA,0.65,2.2,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100111,139062,NA,5,11.4,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100112,139065,NA,0.95,2.72,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100113,140258,NA,0.157,0.333,NA,"{Cavallari, 2020 #649}",7/10/23,solitary,FALSE,Unknown,Unknown
100114,141754,NA,2,2.1,NA,"{Gofas, 2020 #672}",7/10/23,solitary,FALSE,Unknown,Unknown
100115,141760,NA,1.5,1.5,NA,"{Gofas, 2020 #672}",7/10/23,solitary,FALSE,Unknown,Unknown
100116,141763,NA,3.2,3,NA,"{Gofas, 2020 #672}",7/10/23,solitary,FALSE,Unknown,Unknown
100117,160147,0.25,NA,NA,NA,"{Mello, 1986 #664}",7/10/23,solitary,FALSE,Unknown,Unknown
100118,160149,0.4,NA,NA,NA,"{Mello, 1986 #664}",7/10/23,solitary,FALSE,Unknown,Unknown
100119,180898,NA,0.57,0.66,NA,"{Gofas, 2020 #672}",7/10/23,solitary,FALSE,Unknown,Unknown
100120,180921,NA,0.48,1.15,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100121,207905,NA,0.107,0.329,NA,"{Tanamai, 2016 #654}",7/10/23,solitary,FALSE,Unknown,Unknown
100122,215166,0.34,NA,NA,NA,"{Pizzini, 2013 #670}",7/10/23,solitary,FALSE,Unknown,Unknown
100123,216665,NA,0.7,1.7,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100124,216669,NA,2.6,6.5,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100125,216677,NA,0.74,1.73,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100126,216682,NA,1.69,3.48,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100127,216683,NA,0.6,1.55,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100128,216684,NA,1.74,4.8,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100129,216688,NA,0.78,2.29,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100130,216692,NA,1.96,5,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100131,216698,NA,0.95,3.14,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100132,216702,NA,1.92,4.15,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100133,216708,NA,2.08,5,NA,10.5479/si.00810282.510,7/10/23,solitary,TRUE,Unknown,Unknown
100134,224572,NA,0.146,0.308,NA,"{Cavallari, 2020 #649}",7/10/23,solitary,FALSE,Unknown,Unknown
100135,224739,0.4,0.11,NA,NA,"{Deel, 2000 #667}",7/10/23,solitary,FALSE,Unknown,Unknown
100136,387706,NA,3.17,2.82,NA,"{Willan, 2002 #659}",7/10/23,solitary,FALSE,Unknown,Unknown
100137,389193,NA,1.08,1.15,NA,"{Vilvens, 2005 #661}",7/10/23,solitary,FALSE,Unknown,Unknown
100138,389194,NA,1.57,1.81,NA,"{Vilvens, 2005 #661}",7/10/23,solitary,FALSE,Unknown,Unknown
100139,389196,NA,0.76,0.96,NA,"{Vilvens, 2005 #661}",7/10/23,solitary,FALSE,Unknown,Unknown
100140,389197,NA,1.19,1.44,NA,"{Vilvens, 2005 #661}",7/10/23,solitary,FALSE,Unknown,Unknown
100141,389197,NA,1.19,1.44,NA,"{Vilvens, 2014 #660}",7/10/23,solitary,FALSE,Unknown,Unknown
