Order_Added,valid_AphiaID,length_cm,diameter_width_cm,height_cm,Notes,Size_Ref,Date_Added
113552,220304,7.8,,,IM-1999-23398 Syntype(s),"{, 2023 #837}",10/15/23
113553,220304,3.7,,,IM-1999-23403 Syntype(s),"{, 2023 #837}",10/15/23
113554,877367,6,,,IM-1999-23421 Syntype(s),"{, 2023 #837}",10/15/23
113555,877367,5.7,,,IM-1999-23422 Syntype(s),"{, 2023 #837}",10/15/23
113556,877367,2.7,,,IM-1999-23423 Syntype(s),"{, 2023 #837}",10/15/23
113557,550409,72,,,IM-1999-23467 Syntype(s),"{, 2023 #837}",10/15/23
113558,550424,0.5,,,IM-1999-23470 Syntype(s),"{, 2023 #837}",10/15/23
113559,550424,0.5,,,IM-1999-23471 Syntype(s),"{, 2023 #837}",10/15/23
113560,559400,85,,,IM-1999-23530 Holotype,"{, 2023 #837}",10/15/23
113561,534575,38,,,IM-1999-23676 NA,"{, 2023 #837}",10/15/23
113562,407555,0.66,,,IM-2000-100 Holotype,"{, 2023 #837}",10/15/23
113563,751331,2.19,,,IM-2000-1001 Syntype(s),"{, 2023 #837}",10/15/23
113564,404500,8.6,,,IM-2000-1002 Syntype(s),"{, 2023 #837}",10/15/23
113565,404378,3.7,,,IM-2000-1008 Syntype(s),"{, 2023 #837}",10/15/23
113566,406101,3.32,,,IM-2000-1010 Holotype,"{, 2023 #837}",10/15/23
113567,404066,1.09,,,IM-2000-1011 Syntype(s),"{, 2023 #837}",10/15/23
113568,140392,1.88,,,IM-2000-1018 Holotype,"{, 2023 #837}",10/15/23
113569,399174,0.95,,,IM-2000-1022 Holotype,"{, 2023 #837}",10/15/23
113570,407613,2.05,,,IM-2000-1030 Holotype,"{, 2023 #837}",10/15/23
113571,399171,0.91,,,IM-2000-1032 Holotype,"{, 2023 #837}",10/15/23
113572,465332,1.5,,,IM-2000-1035 Syntype(s),"{, 2023 #837}",10/15/23
113573,399166,1.16,,,IM-2000-1064 Holotype,"{, 2023 #837}",10/15/23
113574,396770,2.3,,,IM-2000-1067 Syntype(s),"{, 2023 #837}",10/15/23
113575,399261,2.49,,,IM-2000-109 Holotype,"{, 2023 #837}",10/15/23
113576,489180,0.65,,,IM-2000-1101 Syntype(s),"{, 2023 #837}",10/15/23
113577,473692,1.15,,,IM-2000-1102 Syntype(s),"{, 2023 #837}",10/15/23
113578,736588,0.25,,,IM-2000-1104 Syntype(s),"{, 2023 #837}",10/15/23
113579,719813,0.78,,,IM-2000-1106 Syntype(s),"{, 2023 #837}",10/15/23
113580,395909,0.64,,,IM-2000-1109 Holotype,"{, 2023 #837}",10/15/23
113581,448098,2.66,,,IM-2000-1110 Syntype(s),"{, 2023 #837}",10/15/23
113582,448054,2.05,,,IM-2000-1119 Holotype,"{, 2023 #837}",10/15/23
113583,408058,1.62,,,IM-2000-112 Holotype,"{, 2023 #837}",10/15/23
113584,550138,0.1,,,IM-2000-1120 Syntype(s),"{, 2023 #837}",10/15/23
113585,474730,1.1,,,IM-2000-1128 Syntype(s),"{, 2023 #837}",10/15/23
113586,591638,0.75,,,IM-2000-1130 Syntype(s),"{, 2023 #837}",10/15/23
113587,592197,1,,,IM-2000-1133 Syntype(s),"{, 2023 #837}",10/15/23
113588,591638,0.42,,,IM-2000-1139 Syntype(s),"{, 2023 #837}",10/15/23
113589,572170,1.34,,,IM-2000-1142 Holotype,"{, 2023 #837}",10/15/23
113590,474063,0.8,,,IM-2000-1144 Holotype,"{, 2023 #837}",10/15/23
113591,474640,1.1,,,IM-2000-1153 Syntype(s),"{, 2023 #837}",10/15/23
113592,1427840,0.62,,,IM-2000-1158 Holotype,"{, 2023 #837}",10/15/23
113593,437226,7.4,,,IM-2000-1169 Holotype,"{, 2023 #837}",10/15/23
113594,448098,2.66,,,IM-2000-1170 Syntype(s),"{, 2023 #837}",10/15/23
113595,719823,0.45,,,IM-2000-1175 Lectotype,"{, 2023 #837}",10/15/23
113596,1418343,0.17,,,IM-2000-1181 Syntype(s),"{, 2023 #837}",10/15/23
113597,474604,0.75,,,IM-2000-1186 Syntype(s),"{, 2023 #837}",10/15/23
113598,456927,1.02,,,IM-2000-1188 Holotype,"{, 2023 #837}",10/15/23
113599,550123,0.4,,,IM-2000-1190 Lectotype,"{, 2023 #837}",10/15/23
113600,594874,3.7,,,IM-2000-1191 Syntype(s),"{, 2023 #837}",10/15/23
113601,395905,0.465,,,IM-2000-1208 Holotype,"{, 2023 #837}",10/15/23
113602,448019,0.63,,,IM-2000-1215 Holotype,"{, 2023 #837}",10/15/23
113603,395908,0.69,,,IM-2000-1217 Holotype,"{, 2023 #837}",10/15/23
113604,395904,0.92,,,IM-2000-1218 Holotype,"{, 2023 #837}",10/15/23
113605,408087,1.16,,,IM-2000-123 Holotype,"{, 2023 #837}",10/15/23
113606,474311,1.92,,,IM-2000-1236 Syntype(s),"{, 2023 #837}",10/15/23
113607,736563,0.4,,,IM-2000-1245 Syntype(s),"{, 2023 #837}",10/15/23
113608,736575,0.39,,,IM-2000-1249 Syntype(s),"{, 2023 #837}",10/15/23
113609,468001,3,,,IM-2000-1262 Holotype,"{, 2023 #837}",10/15/23
113610,395906,0.8,,,IM-2000-1280 Holotype,"{, 2023 #837}",10/15/23
113611,489182,1.91,,,IM-2000-1301 Syntype(s),"{, 2023 #837}",10/15/23
113612,736593,0.59,,,IM-2000-1314 Syntype(s),"{, 2023 #837}",10/15/23
113613,736585,0.54,,,IM-2000-1319 Syntype(s),"{, 2023 #837}",10/15/23
113614,1320965,2.5,,,IM-2000-1327 Syntype(s),"{, 2023 #837}",10/15/23
113615,999867,1.34,,,IM-2000-1336 Syntype(s),"{, 2023 #837}",10/15/23
113616,819021,5.18,,,IM-2000-1339 Syntype(s),"{, 2023 #837}",10/15/23
113617,395910,0.59,,,IM-2000-1341 Holotype,"{, 2023 #837}",10/15/23
113618,870243,2.39,,,IM-2000-135 Holotype,"{, 2023 #837}",10/15/23
113619,737632,7.4,,,IM-2000-1353 Syntype(s),"{, 2023 #837}",10/15/23
113620,399260,2.83,,,IM-2000-136 Syntype(s),"{, 2023 #837}",10/15/23
113621,395907,0.77,,,IM-2000-1360 Holotype,"{, 2023 #837}",10/15/23
113622,225439,6.08,,,IM-2000-1370 Holotype,"{, 2023 #837}",10/15/23
113623,448131,2.17,,,IM-2000-1372 Syntype(s),"{, 2023 #837}",10/15/23
113624,409997,6.69,,,IM-2000-1378 Holotype,"{, 2023 #837}",10/15/23
113625,591871,1.66,,,IM-2000-1388 Syntype(s),"{, 2023 #837}",10/15/23
113626,467993,3.28,,,IM-2000-1389 Holotype,"{, 2023 #837}",10/15/23
113627,409992,4.01,,,IM-2000-1393 Holotype,"{, 2023 #837}",10/15/23
113628,474501,0.3,,,IM-2000-1396 Syntype(s),"{, 2023 #837}",10/15/23
113629,736561,0.5,,,IM-2000-1400 Syntype(s),"{, 2023 #837}",10/15/23
113630,448133,4.4,,,IM-2000-1401 Syntype(s),"{, 2023 #837}",10/15/23
113631,448114,1.95,,,IM-2000-1403 Syntype(s),"{, 2023 #837}",10/15/23
113632,208184,0.295,,,IM-2000-1406 Paralectotype(s),"{, 2023 #837}",10/15/23
113633,399175,0.77,,,IM-2000-141 Holotype,"{, 2023 #837}",10/15/23
113634,474593,1.8,,,IM-2000-1416 Holotype,"{, 2023 #837}",10/15/23
113635,819026,5.97,,,IM-2000-1418 Syntype(s),"{, 2023 #837}",10/15/23
113636,140333,1.06,,,IM-2000-1421 Holotype,"{, 2023 #837}",10/15/23
113637,140318,0.22,,,IM-2000-1429 Holotype,"{, 2023 #837}",10/15/23
113638,457120,0.97,,,IM-2000-1430 Holotype,"{, 2023 #837}",10/15/23
113639,736583,0.66,,,IM-2000-1431 Syntype(s),"{, 2023 #837}",10/15/23
113640,762386,2.64,,,IM-2000-1433 Paralectotype(s),"{, 2023 #837}",10/15/23
113641,409996,3.06,,,IM-2000-1439 Holotype,"{, 2023 #837}",10/15/23
113642,463999,5.92,,,IM-2000-145 Holotype,"{, 2023 #837}",10/15/23
113643,740276,2.4,,,IM-2000-1450 Holotype,"{, 2023 #837}",10/15/23
113644,448055,2.52,,,IM-2000-1451 Holotype,"{, 2023 #837}",10/15/23
113645,447969,1.29,,,IM-2000-1459 Holotype,"{, 2023 #837}",10/15/23
113646,448148,4.66,,,IM-2000-1460 Holotype,"{, 2023 #837}",10/15/23
113647,842863,1.215,,,IM-2000-1463 Lectotype,"{, 2023 #837}",10/15/23
113648,736580,0.54,,,IM-2000-1484 Syntype(s),"{, 2023 #837}",10/15/23
113649,736581,0.51,,,IM-2000-1489 Lectotype,"{, 2023 #837}",10/15/23
113650,406038,2.87,,,IM-2000-149 Holotype,"{, 2023 #837}",10/15/23
113651,736578,0.27,,,IM-2000-1490 Syntype(s),"{, 2023 #837}",10/15/23
113652,736571,0.48,,,IM-2000-1493 Syntype(s),"{, 2023 #837}",10/15/23
113653,396949,2.08,,,IM-2000-150 Syntype(s),"{, 2023 #837}",10/15/23
113654,736558,0.4,,,IM-2000-1500 Syntype(s),"{, 2023 #837}",10/15/23
113655,736576,0.5,,,IM-2000-1501 Syntype(s),"{, 2023 #837}",10/15/23
113656,736574,0.52,,,IM-2000-1503 Syntype(s),"{, 2023 #837}",10/15/23
113657,736569,0.71,,,IM-2000-1504 Syntype(s),"{, 2023 #837}",10/15/23
113658,736577,0.52,,,IM-2000-1505 Syntype(s),"{, 2023 #837}",10/15/23
113659,736584,0.24,,,IM-2000-1506 Syntype(s),"{, 2023 #837}",10/15/23
113660,736579,0.55,,,IM-2000-1507 Syntype(s),"{, 2023 #837}",10/15/23
113661,736559,0.59,,,IM-2000-1508 Syntype(s),"{, 2023 #837}",10/15/23
113662,404749,4.66,,,IM-2000-1510 Néotype,"{, 2023 #837}",10/15/23
113663,457645,0.22,,,IM-2000-1532 Holotype,"{, 2023 #837}",10/15/23
113664,395559,0.27,,,IM-2000-1539 Holotype,"{, 2023 #837}",10/15/23
113665,404660,3.56,,,IM-2000-154 Syntype(s),"{, 2023 #837}",10/15/23
113666,387715,0.15,,,IM-2000-1555 Holotype,"{, 2023 #837}",10/15/23
113667,591710,0.49,,,IM-2000-1575 Syntype(s),"{, 2023 #837}",10/15/23
113668,890447,0.5,,,IM-2000-1579 Syntype(s),"{, 2023 #837}",10/15/23
113669,210782,0.65,,,IM-2000-1581 Syntype(s),"{, 2023 #837}",10/15/23
113670,207924,0.47,,,IM-2000-1582 Syntype(s),"{, 2023 #837}",10/15/23
113671,140394,2.42,,,IM-2000-159 Holotype,"{, 2023 #837}",10/15/23
113672,591809,0.46,,,IM-2000-1595 Syntype(s),"{, 2023 #837}",10/15/23
113673,408373,1.84,,,IM-2000-160 Syntype(s),"{, 2023 #837}",10/15/23
113674,408337,1.5,,,IM-2000-1607 Holotype,"{, 2023 #837}",10/15/23
113675,407755,1.8,,,IM-2000-161 Holotype,"{, 2023 #837}",10/15/23
113676,1481167,0.66,,,IM-2000-1613 Syntype(s),"{, 2023 #837}",10/15/23
113677,399183,0.99,,,IM-2000-162 Holotype,"{, 2023 #837}",10/15/23
113678,399268,2.74,,,IM-2000-167 Holotype,"{, 2023 #837}",10/15/23
113679,399267,2.65,,,IM-2000-170 Holotype,"{, 2023 #837}",10/15/23
113680,549944,1.37,,,IM-2000-173 Lectotype,"{, 2023 #837}",10/15/23
113681,399182,1.11,,,IM-2000-182 Holotype,"{, 2023 #837}",10/15/23
113682,404625,4.6,,,IM-2000-183 Syntype(s),"{, 2023 #837}",10/15/23
113683,399181,0.78,,,IM-2000-185 Holotype,"{, 2023 #837}",10/15/23
113684,408721,0.93,,,IM-2000-190 Holotype,"{, 2023 #837}",10/15/23
113685,408799,0.7,,,IM-2000-193 Holotype,"{, 2023 #837}",10/15/23
113686,404860,1.76,,,IM-2000-196 Holotype,"{, 2023 #837}",10/15/23
113687,399180,0.9,,,IM-2000-199 Holotype,"{, 2023 #837}",10/15/23
113688,399193,0.92,,,IM-2000-2 Holotype,"{, 2023 #837}",10/15/23
113689,550031,3,,,IM-2000-20004 Néotype,"{, 2023 #837}",10/15/23
113690,434295,3.7,,,IM-2000-20005 Holotype,"{, 2023 #837}",10/15/23
113691,407868,1.46,,,IM-2000-20006 Holotype,"{, 2023 #837}",10/15/23
113692,399123,0.67,,,IM-2000-20009 Holotype,"{, 2023 #837}",10/15/23
113693,405949,2.35,,,IM-2000-20010 Holotype,"{, 2023 #837}",10/15/23
113694,434096,1.78,,,IM-2000-20014 Holotype,"{, 2023 #837}",10/15/23
113695,434097,1.26,,,IM-2000-20015 Holotype,"{, 2023 #837}",10/15/23
113696,390015,1.385,,,IM-2000-20020 Holotype,"{, 2023 #837}",10/15/23
113697,390427,1.65,,,IM-2000-20022 Holotype,"{, 2023 #837}",10/15/23
113698,390428,2.52,,,IM-2000-20023 Holotype,"{, 2023 #837}",10/15/23
113699,410267,12.82,,,IM-2000-20024 Syntype(s),"{, 2023 #837}",10/15/23
113700,574940,6.4,,,IM-2000-20025 Syntype(s),"{, 2023 #837}",10/15/23
113701,457679,5.38,,,IM-2000-20026 Holotype,"{, 2023 #837}",10/15/23
113702,457681,5.35,,,IM-2000-20028 Holotype,"{, 2023 #837}",10/15/23
113703,433099,9.8,,,IM-2000-20030 Holotype,"{, 2023 #837}",10/15/23
113704,181087,4.9,,,IM-2000-20031 Holotype,"{, 2023 #837}",10/15/23
113705,434616,1.09,,,IM-2000-20033 Holotype,"{, 2023 #837}",10/15/23
113706,458591,0.85,,,IM-2000-20036 Holotype,"{, 2023 #837}",10/15/23
113707,434621,7.2,,,IM-2000-20037 Holotype,"{, 2023 #837}",10/15/23
113708,181082,1.1,,,IM-2000-20040 Holotype,"{, 2023 #837}",10/15/23
113709,458596,1.21,,,IM-2000-20042 Holotype,"{, 2023 #837}",10/15/23
113710,458603,0.38,,,IM-2000-20044 Holotype,"{, 2023 #837}",10/15/23
113711,458604,0.38,,,IM-2000-20048 Holotype,"{, 2023 #837}",10/15/23
113712,458601,0.59,,,IM-2000-20049 Holotype,"{, 2023 #837}",10/15/23
113713,434618,2.59,,,IM-2000-20059 Holotype,"{, 2023 #837}",10/15/23
113714,458598,6.4,,,IM-2000-20061 Holotype,"{, 2023 #837}",10/15/23
113715,377886,2.1,,,IM-2000-20065 Holotype,"{, 2023 #837}",10/15/23
113716,377887,2.7,,,IM-2000-20067 Holotype,"{, 2023 #837}",10/15/23
113717,377888,0.75,,,IM-2000-20070 Holotype,"{, 2023 #837}",10/15/23
113718,378875,5,,,IM-2000-20072 Holotype,"{, 2023 #837}",10/15/23
113719,377801,4.73,,,IM-2000-20076 Holotype,"{, 2023 #837}",10/15/23
113720,377800,8.64,,,IM-2000-20080 Holotype,"{, 2023 #837}",10/15/23
113721,377803,7.89,,,IM-2000-20083 Holotype,"{, 2023 #837}",10/15/23
113722,377889,2.7,,,IM-2000-20089 Holotype,"{, 2023 #837}",10/15/23
113723,377890,1.97,,,IM-2000-20092 Holotype,"{, 2023 #837}",10/15/23
113724,377896,3.92,,,IM-2000-20094 Holotype,"{, 2023 #837}",10/15/23
113725,377897,3.85,,,IM-2000-20099 Holotype,"{, 2023 #837}",10/15/23
113726,458317,0.6,,,IM-2000-20102 Holotype,"{, 2023 #837}",10/15/23
113727,458315,1.2,,,IM-2000-20106 Holotype,"{, 2023 #837}",10/15/23
113728,458316,0.8,,,IM-2000-20109 Holotype,"{, 2023 #837}",10/15/23
