name,cor,med_diff,mean_diff,sd_diff,max_diff,max_sp
1,0.9829173488139181,30,499.180448095046,1366.8332812657725,25339.5,111431
2,0.9821211131569297,19.5,497.2951853617396,1403.1413933717085,25531,111431
3,0.9830368021916376,19.5,493.7458839059807,1363.3860533039795,25037,111362
4,0.9834510878020186,17.5,490.3209269920428,1345.6747984804433,25151.5,111362
5,0.9833744794106981,21.5,491.1240511899087,1348.906645861579,25247,111352
6,0.9831952656916874,21,493.17458105680026,1356.371536336748,25086,111431
7,0.9823513270356602,21.5,495.03648564409076,1393.7407672255642,25300.5,111431
8,0.9830101664182276,22,491.7887132851747,1365.3028593760923,25534,111431
9,0.9839223968591332,26.5,485.1966191192109,1325.6776864650055,25586,111072
10,0.9836353225242906,22.5,486.0555901873785,1338.7197250800825,25259.5,111352
11,0.9827010706896971,24.5,497.21876718858863,1377.3144154956758,25086.5,111431
12,0.9823426398301831,20,497.98547908034175,1393.0754274884605,25069.5,111431
13,0.9834120616685447,21.5,486.5641157273294,1348.8320915343945,24531.5,111354
14,0.9830681191587909,17,493.93282241208607,1361.893913344175,25190.5,111352
15,0.9832758595237941,23.5,492.6490411059367,1352.875720157032,24938.5,111352
16,0.9833887048275018,18,488.03113197169154,1349.3753509240105,24808,761621
17,0.9834686977019859,20,486.59297422170073,1346.216860896056,24396,111425
18,0.9838535046803566,26,484.3653331377654,1329.1971083993208,24394.5,111425
19,0.9824963539412078,25,496.6254996149756,1386.7082811376401,25598,111072
20,0.983280496005738,17,483.2692970554802,1356.0430063284093,25560,111431
21,0.9829802608780355,15,493.36236294965346,1366.092767749108,25586.5,111072
22,0.9824746825724286,21.5,501.77668585677094,1385.8223067276222,25084.5,111362
23,0.9839362318212297,19,484.04550621539363,1325.4514960606782,24619,111355
24,0.9834477738280638,24,491.84661361886253,1345.2707774715518,25583.5,111072
25,0.983880202982949,24,480.88573943016394,1329.2159753859682,25017,111072
26,0.9829466915866484,23.5,498.7473873345312,1365.660243906854,25056,111431
27,0.9825744288181891,23.5,490.73939349492133,1385.3139588916372,25541,111431
28,0.9834546246260043,24,493.4926478676983,1344.352128433856,25590.5,111072
29,0.9825726364880045,20,494.6346301932456,1384.0081981131,25241.5,111431
30,0.98354337162748,23,489.2983388947967,1341.7908835857154,25068.5,111431
31,0.9835999167721086,20.5,485.26981042132667,1340.641948047738,25416,761621
32,0.9834274448111612,20.5,486.1310549668146,1348.2815201154265,25253.5,111431
33,0.9838408801911781,26,487.8311026365003,1328.5185504435788,25415,761621
34,0.9839563333179422,17,477.8062043929449,1326.7750934567507,25390,761621
35,0.9818803881962825,24.5,506.03259873125296,1410.63042946936,24996,111158
36,0.9831806521012257,16.5,489.48293058560375,1358.3753505120646,25102.5,111362
37,0.9840875559760983,18,485.9460965861171,1317.6571315512642,25031.5,111072
38,0.9831279720732798,18,492.90697077481576,1359.5398207960704,24928.5,111072
39,0.9840422048749582,23,482.4167797293829,1321.0831147131723,25545,111431
40,0.9833007909436273,34.5,492.94022954787135,1351.626853974976,25255.5,111431
41,0.9836460787093673,22.5,485.7589380660775,1338.329200143206,25073.5,111362
42,0.9823118082152978,17.5,498.4323273807341,1394.2867174682033,25026,111072
43,0.9833871015355299,22.5,489.65923508488873,1348.8594341154533,25588.5,111072
44,0.9835261586385282,17.5,490.3400682043196,1342.205787284554,24794,111425
45,0.98279319331418,24,492.7556745260533,1374.7708450185949,25564.5,111072
46,0.9835136800140384,21,487.8718418833193,1343.6810444160906,25240.5,111352
47,0.9826001494822928,17.5,491.0757581313483,1384.0433167100136,25032,111072
48,0.983929225158032,22.5,488.09717282094533,1324.2924088438524,23890,111314
49,0.9835643622481479,20,485.92336181291483,1342.0482417826693,25154,111362
50,0.9829457711327767,17,493.45044186131787,1367.6245309632377,25314.5,111431
51,0.982765725615491,24,490.8673682666569,1376.6833022642054,25260.5,111431
52,0.9827809915299748,20.5,495.3138498771589,1374.4014667466488,24951.5,111072
53,0.9825319464961557,24,495.17109750284186,1385.6372663270195,25018,111431
54,0.9828061067095438,25,492.7348832092699,1374.1961657993913,25234.5,111352
55,0.982495238671889,21.5,496.5503648564409,1386.7846112885925,25238.5,111352
56,0.9827722121316713,28,494.9110043636097,1374.94238681856,25409,761621
57,0.9832094625910455,24,488.6223460819185,1357.3703059284494,24953,111072
58,0.983724389215918,21,484.36507645484215,1335.2040000457348,25540.5,111431
59,0.9829524188316412,18,496.8227421070001,1366.101490829514,25014.5,111072
60,0.983373975239813,21.5,485.56477576913204,1350.9405164278792,25413,111158
61,0.9838723069158241,19,484.2343148399399,1328.3681922872368,25324,111431
62,0.9829691650031357,16.5,491.7193722269077,1367.1879856327414,25577,111072
63,0.9845305871034262,24.5,485.4737633383448,1296.8289028483446,23770,111351
